user,time slot,region,ground truth,sensing traffic,prediction,noise(pp),with accident
7,114,11,39.0,39.0,48.0,0.0,0.0
7,19,2,91.0,91.0,99.0,0.0,0.0
7,21,19,55.0,55.0,44.0,0.0,0.0
7,80,16,8.0,8.0,7.0,0.0,0.0
7,72,0,26.0,26.0,23.0,0.0,0.0
7,48,22,146.0,146.0,154.0,0.0,0.0
7,103,0,55.0,55.0,30.0,0.0,0.0
7,81,6,38.0,38.0,34.0,0.0,0.0
7,11,19,53.0,53.0,56.0,0.0,0.0
7,8,14,122.0,122.0,127.0,0.0,0.0
7,111,10,84.0,84.0,91.0,0.0,0.0
7,10,19,64.0,64.0,54.0,0.0,0.0
7,25,24,25.0,25.0,35.0,0.0,0.0
7,95,28,13.0,13.0,11.0,0.0,0.0
7,28,8,22.0,22.0,26.0,0.0,0.0
7,7,13,190.0,190.0,180.0,0.0,0.0
7,49,30,74.0,74.0,72.0,0.0,0.0
7,1,24,130.0,130.0,135.0,0.0,0.0
7,12,29,3.0,3.0,6.0,0.0,0.0
7,50,2,102.0,102.0,97.0,0.0,0.0
7,71,3,35.0,35.0,56.0,0.0,0.0
7,66,30,64.0,64.0,54.0,0.0,0.0
7,37,2,50.0,50.0,50.0,0.0,0.0
7,57,11,62.0,62.0,65.0,0.0,0.0
7,62,13,146.0,146.0,151.0,0.0,0.0
7,74,16,22.0,22.0,16.0,0.0,0.0
7,91,8,140.0,140.0,140.0,0.0,0.0
7,86,8,114.0,114.0,99.0,0.0,0.0
8,66,19,26.0,26.0,48.0,0.0,0.0
8,63,31,0.0,0.0,1.0,0.0,0.0
8,86,8,114.0,114.0,99.0,0.0,0.0
8,113,26,54.0,54.0,67.0,0.0,0.0
8,41,2,87.0,87.0,78.0,0.0,0.0
8,106,24,61.0,61.0,71.0,0.0,0.0
8,118,20,131.0,131.0,137.0,0.0,0.0
8,116,3,39.0,39.0,32.0,0.0,0.0
8,81,12,14.0,14.0,8.0,0.0,0.0
8,85,29,4.0,4.0,2.0,0.0,0.0
8,25,14,57.0,57.0,34.0,0.0,0.0
8,69,0,70.0,70.0,71.0,0.0,0.0
8,78,4,7.0,7.0,11.0,0.0,0.0
8,28,3,12.0,12.0,11.0,0.0,0.0
8,1,13,171.0,171.0,166.0,0.0,0.0
8,43,11,84.0,84.0,68.0,0.0,0.0
8,90,28,6.0,6.0,10.0,0.0,0.0
8,95,22,116.0,116.0,97.0,0.0,0.0
8,40,13,123.0,123.0,141.0,0.0,0.0
8,115,25,20.0,20.0,25.0,0.0,0.0
8,4,13,182.0,182.0,195.0,0.0,0.0
8,67,11,42.0,42.0,46.0,0.0,0.0
8,18,24,70.0,70.0,92.0,0.0,0.0
8,32,16,14.0,14.0,6.0,0.0,0.0
8,77,24,9.0,9.0,17.0,0.0,0.0
8,19,29,7.0,7.0,6.0,0.0,0.0
8,48,21,209.0,209.0,184.0,0.0,0.0
8,74,14,31.0,31.0,28.0,0.0,0.0
8,37,25,18.0,18.0,49.0,0.0,1.0
8,103,16,53.0,53.0,44.0,0.0,0.0
9,49,28,11.0,11.0,11.0,0.0,0.0
9,77,25,10.0,10.0,8.0,0.0,0.0
9,75,22,40.0,40.0,39.0,0.0,0.0
9,29,21,21.0,21.0,21.0,0.0,0.0
9,108,29,4.0,4.0,4.0,0.0,0.0
9,110,19,28.0,28.0,39.0,0.0,0.0
9,102,1,62.0,62.0,63.0,0.0,0.0
9,2,8,242.0,242.0,245.0,0.0,0.0
9,84,0,19.0,19.0,13.0,0.0,0.0
9,0,4,100.0,100.0,95.0,0.0,0.0
9,94,27,57.0,57.0,66.0,0.0,0.0
9,23,27,63.0,63.0,59.0,0.0,0.0
9,38,25,28.0,28.0,59.0,0.0,1.0
9,64,6,222.0,222.0,197.0,0.0,0.0
9,72,21,71.0,71.0,59.0,0.0,0.0
9,32,31,0.0,0.0,0.0,0.0,0.0
9,42,13,160.0,160.0,176.0,0.0,0.0
9,8,7,211.0,211.0,225.0,0.0,0.0
9,63,24,82.0,82.0,91.0,0.0,0.0
9,33,24,18.0,18.0,16.0,0.0,0.0
9,107,15,62.0,62.0,51.0,0.0,0.0
9,98,9,239.0,239.0,213.0,0.0,0.0
9,52,18,229.0,229.0,208.0,0.0,0.0
9,119,8,8.0,8.0,65.0,0.0,0.0
9,96,22,110.0,110.0,97.0,0.0,0.0
9,7,15,95.0,95.0,122.0,0.0,0.0
9,20,11,41.0,41.0,56.0,0.0,0.0
9,82,6,39.0,39.0,41.0,0.0,0.0
9,16,15,72.0,72.0,89.0,0.0,0.0
9,30,29,0.0,0.0,1.0,0.0,0.0
10,43,25,91.0,91.0,77.0,0.0,0.0
10,83,1,29.0,29.0,27.0,0.0,0.0
10,15,31,0.0,0.0,1.0,0.0,0.0
10,87,22,91.0,91.0,102.0,0.0,0.0
10,91,12,26.0,26.0,38.0,0.0,0.0
10,79,24,11.0,11.0,10.0,0.0,0.0
10,37,29,6.0,6.0,5.0,0.0,0.0
10,100,24,97.0,97.0,67.0,0.0,0.0
10,108,3,34.0,34.0,33.0,0.0,0.0
10,16,18,170.0,170.0,145.0,0.0,0.0
10,49,15,106.0,106.0,103.0,0.0,0.0
10,102,3,29.0,29.0,37.0,0.0,0.0
10,113,10,139.0,139.0,100.0,0.0,0.0
10,95,12,40.0,40.0,35.0,0.0,0.0
10,116,6,86.0,86.0,117.0,0.0,0.0
10,103,3,41.0,41.0,33.0,0.0,0.0
10,117,22,68.0,68.0,57.0,0.0,0.0
10,66,30,64.0,64.0,54.0,0.0,0.0
10,112,29,6.0,6.0,3.0,0.0,0.0
10,24,5,75.0,75.0,68.0,0.0,0.0
10,4,23,69.0,69.0,72.0,0.0,0.0
10,50,11,86.0,86.0,80.0,0.0,0.0
10,56,0,55.0,55.0,74.0,0.0,0.0
10,47,11,90.0,90.0,83.0,0.0,0.0
10,101,8,123.0,123.0,119.0,0.0,0.0
10,58,20,235.0,235.0,255.0,0.0,0.0
10,45,10,196.0,196.0,202.0,0.0,0.0
10,80,22,27.0,27.0,20.0,0.0,0.0
10,9,11,82.0,82.0,71.0,0.0,0.0
10,5,5,142.0,142.0,142.0,0.0,0.0
11,32,29,0.0,0.0,1.0,0.0,0.0
11,10,28,11.0,11.0,14.0,0.0,0.0
11,45,15,115.0,115.0,119.0,0.0,0.0
11,9,8,191.0,191.0,193.0,0.0,0.0
11,15,2,100.0,100.0,86.0,0.0,0.0
11,117,27,44.0,44.0,42.0,0.0,0.0
11,88,19,65.0,65.0,57.0,0.0,0.0
11,3,25,55.0,55.0,73.0,0.0,0.0
11,44,23,94.0,94.0,69.0,0.0,0.0
11,111,21,97.0,97.0,91.0,0.0,0.0
11,22,19,50.0,50.0,47.0,0.0,0.0
11,1,14,118.0,118.0,114.0,0.0,0.0
11,106,20,193.0,193.0,153.0,0.0,0.0
11,29,21,21.0,21.0,21.0,0.0,0.0
11,104,29,5.0,5.0,5.0,0.0,0.0
11,46,3,79.0,79.0,72.0,0.0,0.0
11,116,3,39.0,39.0,32.0,0.0,0.0
11,76,7,31.0,31.0,27.0,0.0,0.0
11,18,9,261.0,261.0,274.0,0.0,0.0
11,26,9,65.0,65.0,76.0,0.0,0.0
11,0,9,338.0,338.0,357.0,0.0,0.0
11,100,23,37.0,37.0,41.0,0.0,0.0
11,84,3,18.0,18.0,13.0,0.0,0.0
11,86,14,47.0,47.0,61.0,0.0,0.0
11,93,26,82.0,82.0,92.0,0.0,0.0
11,115,18,65.0,65.0,76.0,0.0,0.0
11,99,12,32.0,32.0,35.0,0.0,0.0
11,37,3,41.0,41.0,35.0,0.0,0.0
